HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ
18/01/2012 1:17:58 PM,Front,Good,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.0164505261927843,0.0224337112158537,2.67904090881348,-0.0191950667649508,0.0850235223770142,2.7427613735199,-0.0271016266196966,0.488896369934082,2.81344747543335,-0.0149506367743015,0.664241135120392,2.82287931442261,-0.148098915815353,0.344920009374619,2.70986199378967,-0.233113959431648,0.311484396457672,2.48904991149902,-0.177567169070244,0.334177881479263,2.26022481918335,-0.155162006616592,0.337903767824173,2.17087817192078,0.112655602395535,0.365354478359222,2.7266263961792,0.193651750683784,0.306531637907028,2.51464486122131,0.188366025686264,0.326369971036911,2.31517219543457,0.17604224383831,0.344233632087708,2.16600298881531,-0.0789521262049675,-0.0350444912910461,2.65608358383179,-0.156595394015312,-0.539385795593262,2.6909646987915,-0.19344437122345,-0.915293276309967,2.66104936599731,-0.222830027341843,-0.979193210601807,2.62906503677368,0.0480559580028057,-0.0340859368443489,2.6686589717865,0.106424324214458,-0.539432346820831,2.69232606887817,0.155301228165627,-0.920517444610596,2.69319844245911,0.181035086512566,-0.975269258022308,2.65384244918823
-0.0157852340489626,0.0213680826127529,2.6816873550415,-0.0187569241970778,0.0841240286827087,2.74685645103455,-0.026818435639143,0.487069100141525,2.81953287124634,-0.0153882242739201,0.663837969303131,2.83232378959656,-0.147879853844643,0.344508409500122,2.71497917175293,-0.231686636805534,0.305671900510788,2.50331211090088,-0.182827800512314,0.326755255460739,2.28153395652771,-0.15854412317276,0.333034783601761,2.18361043930054,0.112009480595589,0.364491641521454,2.73243284225464,0.194044709205627,0.304676830768585,2.52536129951477,0.190964639186859,0.32252299785614,2.32558131217957,0.178905129432678,0.339824557304382,2.17658090591431,-0.0773608833551407,-0.0358247645199299,2.65866470336914,-0.156315162777901,-0.539552688598633,2.6917450428009,-0.193365097045898,-0.915154218673706,2.6614363193512,-0.22139285504818,-0.97767972946167,2.62964677810669,0.0481312125921249,-0.0346863940358162,2.67051529884338,0.106892004609108,-0.539857506752014,2.69251608848572,0.155307844281197,-0.920525789260864,2.69326257705688,0.180961012840271,-0.975268125534058,2.65380382537842
-0.0152836749330163,0.0205656550824642,2.68373441696167,-0.0184512659907341,0.083485409617424,2.74972653388977,-0.0266515221446753,0.485964804887772,2.8232684135437,-0.0156582314521074,0.663618266582489,2.83803606033325,-0.147738352417946,0.344202488660812,2.71834468841553,-0.230831652879715,0.30200207233429,2.51214575767517,-0.185029208660126,0.323082029819489,2.29134511947632,-0.160685807466507,0.330194234848022,2.19121599197388,0.111614882946014,0.36394003033638,2.7360782623291,0.196820706129074,0.304529964923859,2.52123546600342,0.185932844877243,0.320376336574554,2.30883860588074,0.180549547076225,0.337229698896408,2.1829400062561,-0.0762106627225876,-0.0364297106862068,2.66066575050354,-0.155984953045845,-0.539942264556885,2.69260907173157,-0.19326439499855,-0.914961814880371,2.66185927391052,-0.220455944538116,-0.976682245731354,2.6299786567688,0.04822688549757,-0.0351914204657078,2.6720666885376,0.107366047799587,-0.540324866771698,2.69270491600037,0.155302420258522,-0.920466840267181,2.69335865974426,0.180933862924576,-0.975271224975586,2.65378260612488
-0.0149106550961733,0.0199665818363428,2.68533492088318,-0.0182387623935938,0.0830204114317894,2.75180006027222,-0.0265356805175543,0.485223591327667,2.8258364200592,-0.0158406924456358,0.663456320762634,2.84205055236816,-0.147650122642517,0.34399226307869,2.72063517570496,-0.229910328984261,0.301129072904587,2.51325821876526,-0.186212360858917,0.321352034807205,2.29631853103638,-0.161650985479355,0.328638583421707,2.19569563865662,0.111358217895031,0.363547176122665,2.73851418495178,0.198206141591072,0.304416954517365,2.51935720443726,0.182380169630051,0.31994304060936,2.29661917686462,0.181683301925659,0.335443019866943,2.18731713294983,-0.0753908008337021,-0.0368859060108662,2.66219687461853,-0.155660107731819,-0.540377616882324,2.69343113899231,-0.193160578608513,-0.914774417877197,2.66226482391357,-0.219871357083321,-0.976036906242371,2.63013577461243,0.0483247861266136,-0.0356118269264698,2.67337727546692,0.107807755470276,-0.540777623653412,2.69287753105164,0.155295833945274,-0.920424222946167,2.69342374801636,0.180918619036675,-0.975270450115204,2.65377116203308
-0.0146338725462556,0.0195222310721874,2.68655848503113,-0.0180910285562277,0.0826870203018188,2.75328016281128,-0.026450265198946,0.484685510396957,2.82767820358276,-0.015913488343358,0.663337588310242,2.84411144256592,-0.14758525788784,0.343854874372482,2.7222421169281,-0.22953499853611,0.302576988935471,2.50878953933716,-0.186377838253975,0.322019666433334,2.29565000534058,-0.161163926124573,0.328739821910858,2.1959376335144,0.111172161996365,0.36327263712883,2.74022197723389,0.1993488073349,0.304541140794754,2.5163848400116,0.180133625864983,0.32001394033432,2.28862476348877,0.182189255952835,0.334640473127365,2.18925929069519,-0.0747988224029541,-0.0372257642447948,2.66337418556213,-0.155353590846062,-0.540843784809113,2.69419312477112,-0.193076357245445,-0.914633810520172,2.66262125968933,-0.219482988119125,-0.975578844547272,2.63007974624634,0.0484132878482342,-0.0359517931938171,2.67444610595703,0.10820559412241,-0.541194677352905,2.69303202629089,0.155278727412224,-0.920418679714203,2.69356846809387,0.180915728211403,-0.975269258022308,2.65376496315002
-0.0144286826252937,0.0191919915378094,2.68749952316284,-0.0179805140942335,0.0824398770928383,2.75436305999756,-0.026384174823761,0.484275311231613,2.82896637916565,-0.0158849135041237,0.663289129734039,2.84447455406189,-0.147555351257324,0.3437220454216,2.72343897819519,-0.229415073990822,0.304457753896713,2.5035297870636,-0.185896292328835,0.322732746601105,2.29246306419373,-0.159906625747681,0.329672008752823,2.19445466995239,0.11103305965662,0.363064974546433,2.74145793914795,0.200223594903946,0.30474328994751,2.51308536529541,0.178656086325645,0.320320248603821,2.28338432312012,0.182237923145294,0.334397524595261,2.19003057479858,-0.0743732154369354,-0.0374839156866074,2.66428208351135,-0.155109569430351,-0.541181623935699,2.69481158256531,-0.19299778342247,-0.914519906044006,2.66293954849243,-0.219241097569466,-0.97526603937149,2.62998819351196,0.0484933890402317,-0.0362225435674191,2.67529797554016,0.108555726706982,-0.541568398475647,2.69316744804382,0.155253127217293,-0.920448541641235,2.69370293617249,0.180912390351295,-0.975267827510834,2.65376830101013
-0.014277633279562,0.0189433470368385,2.6882209777832,-0.01790133677423,0.0822567194700241,2.7551531791687,-0.0263384114950895,0.483973175287247,2.82974052429199,-0.0158088002353907,0.663276314735413,2.84357261657715,-0.147534981369972,0.343613922595978,2.72431874275208,-0.230323240160942,0.306647479534149,2.49757075309753,-0.181900799274445,0.324726969003677,2.27861857414246,-0.159280002117157,0.330325156450272,2.19387722015381,0.110932596027851,0.362909495830536,2.74236965179443,0.20084835588932,0.305027157068253,2.51010227203369,0.177878439426422,0.320395797491074,2.28009700775146,0.181910693645477,0.334733963012695,2.18931984901428,-0.0740671083331108,-0.0376840122044086,2.66498351097107,-0.154905721545219,-0.541467428207397,2.69532752037048,-0.192933708429337,-0.914442896842957,2.66319561004639,-0.223385691642761,-0.977718651294708,2.62886595726013,0.0485625080764294,-0.0364385545253754,2.67597675323486,0.108849540352821,-0.541878163814545,2.69328260421753,0.155231550335884,-0.920494675636292,2.69384908676147,0.180908992886543,-0.975256085395813,2.65381574630737
-0.0141674848273396,0.0187499709427357,2.68878555297852,-0.0178441517055035,0.0821151658892632,2.7557418346405,-0.0263171792030334,0.483773827552795,2.83017611503601,-0.0157103352248669,0.66329026222229,2.84205031394959,-0.147522643208504,0.343517363071442,2.72496700286865,-0.231088429689407,0.307990372180939,2.49324345588684,-0.179276391863823,0.32606303691864,2.26821446418762,-0.159297809004784,0.330410718917847,2.1944637298584,0.110871903598309,0.362776726484299,2.74301648139954,0.201290875673294,0.305299192667007,2.50746321678162,0.17680436372757,0.32031038403511,2.27783608436584,0.18167108297348,0.334950834512711,2.18891525268555,-0.0738493949174881,-0.0378421284258366,2.66552495956421,-0.154737129807472,-0.541702687740326,2.69575524330139,-0.192878395318985,-0.914379000663757,2.66342043876648,-0.226976647973061,-0.980061054229736,2.62849497795105,0.0486209131777287,-0.0366198867559433,2.67653489112854,0.109095871448517,-0.542130351066589,2.69337582588196,0.155188411474228,-0.920591592788696,2.69398260116577,0.180934220552444,-0.975246727466583,2.65391039848328
-0.0140809714794159,0.0185849796980619,2.68924450874329,-0.0177997816354036,0.0819906666874886,2.75619649887085,-0.0262745656073093,0.483642756938934,2.83053159713745,-0.0156414471566677,0.663297772407532,2.84030222892761,-0.147505417466164,0.343429803848267,2.72545433044434,-0.231072440743446,0.308472722768784,2.49076104164124,-0.177478045225143,0.326902687549591,2.261075258255,-0.158140644431114,0.332006275653839,2.18830370903015,0.110834695398808,0.362677127122879,2.74350166320801,0.201609134674072,0.304980874061584,2.50621056556702,0.1759292781353,0.321813941001892,2.27744126319885,0.181479975581169,0.335132420063019,2.18874740600586,-0.0736908465623856,-0.0379746295511723,2.66594886779785,-0.154602319002151,-0.541881442070007,2.69609880447388,-0.192845970392227,-0.914344608783722,2.66362690925598,-0.22967965900898,-0.981799244880676,2.62787365913391,0.0486738383769989,-0.0367856286466122,2.67701506614685,0.10930871963501,-0.5423464179039,2.6934540271759,0.155181407928467,-0.920626640319824,2.69405770301819,0.180969133973122,-0.975239634513855,2.65402293205261
